시도,시군구,name,full name
11000,11010,종로구,서울특별시 종로구
11000,11020,중구,서울특별시 중구
11000,11030,용산구,서울특별시 용산구
11000,11040,성동구,서울특별시 성동구
11000,11050,광진구,서울특별시 광진구
11000,11060,동대문구,서울특별시 동대문구
11000,11070,중랑구,서울특별시 중랑구
11000,11080,성북구,서울특별시 성북구
11000,11090,강북구,서울특별시 강북구
11000,11100,도봉구,서울특별시 도봉구
11000,11110,노원구,서울특별시 노원구
11000,11120,은평구,서울특별시 은평구
11000,11130,서대문구,서울특별시 서대문구
11000,11140,마포구,서울특별시 마포구
11000,11150,양천구,서울특별시 양천구
11000,11160,강서구,서울특별시 강서구
11000,11170,구로구,서울특별시 구로구
11000,11180,금천구,서울특별시 금천구
11000,11190,영등포구,서울특별시 영등포구
11000,11200,동작구,서울특별시 동작구
11000,11210,관악구,서울특별시 관악구
11000,11220,서초구,서울특별시 서초구
11000,11230,강남구,서울특별시 강남구
11000,11240,송파구,서울특별시 송파구
11000,11250,강동구,서울특별시 강동구
21000,21000,부산광역시,부산광역시
22000,22000,대구광역시,대구광역시
23000,23010,중구,인천광역시 중구
23000,23020,동구,인천광역시 동구
23000,23030,남구,인천광역시 남구
23000,23040,연수구,인천광역시 연수구
23000,23050,남동구,인천광역시 남동구
23000,23060,부평구,인천광역시 부평구
23000,23070,계양구,인천광역시 계양구
23000,23080,서구,인천광역시 서구
23000,23310,강화군,인천광역시 강화군
23000,23320,옹진군,인천광역시 옹진군
24000,24000,광주광역시,광주광역시
25000,25000,대전광역시,대전광역시
26000,26000,울산광역시,울산광역시
29000,29000,세종특별자치시,세종특별자치시
31000,31011,장안구,경기도 수원시 장안구
31000,31012,권선구,경기도 수원시 권선구
31000,31013,팔달구,경기도 수원시 팔달구
31000,31014,영통구,경기도 수원시 영통구
31000,31021,수정구,경기도 성남시 수정구
31000,31022,중원구,경기도 성남시 중원구
31000,31023,분당구,경기도 성남시 분당구
31000,31030,의정부시,경기도 의정부시
31000,31041,만안구,경기도 안양시 만안구
31000,31042,동안구,경기도 안양시 동안구
31000,31050,부천시,경기도 부천시
31000,31060,광명시,경기도 광명시
31000,31070,평택시,경기도 평택시
31000,31080,동두천시,경기도 동두천시
31000,31091,상록구,경기도 안산시 상록구
31000,31092,단원구,경기도 안산시 단원구
31000,31101,덕양구,경기도 고양시 덕양구
31000,31103,일산동구,경기도 고양시 일산동구
31000,31104,일산서구,경기도 고양시 일산서구
31000,31110,과천시,경기도 과천시
31000,31120,구리시,경기도 구리시
31000,31130,남양주시,경기도 남양주시
31000,31140,오산시,경기도 오산시
31000,31150,시흥시,경기도 시흥시
31000,31160,군포시,경기도 군포시
31000,31170,의왕시,경기도 의왕시
31000,31180,하남시,경기도 하남시
31000,31191,용인시,경기도 용인시
31000,31192,용인시,경기도 용인시
31000,31193,용인시,경기도 용인시
31000,31200,파주시,경기도 파주시
31000,31210,이천시,경기도 이천시
31000,31220,안성시,경기도 안성시
31000,31230,김포시,경기도 김포시
31000,31240,화성시,경기도 화성시
31000,31250,광주시,경기도 광주시
31000,31260,양주시,경기도 양주시
31000,31270,포천시,경기도 포천시
31000,31280,여주시,경기도 여주시
31000,31350,연천군,경기도 연천군
31000,31370,가평군,경기도 가평군
31000,31380,양평군,경기도 양평군
32000,32000,강원도,강원도
33000,33000,충청북도,충청북도
34000,34000,충청남도,충청남도
35000,35000,전라북도,전라북도
36000,36000,전라남도,전라남도
37000,37000,경상북도,경상북도
38000,38000,경상남도,경상남도
39000,39000,제주특별자치도,제주특별자치도
