나이,이동인구(합),출발 시군구 코드,도착 시군구 코드
0,262862.16,종로구,종로구
10,243022.08,종로구,종로구
15,352249.0,종로구,종로구
20,695359.88,종로구,종로구
25,784973.3,종로구,종로구
30,699115.98,종로구,종로구
35,586827.2,종로구,종로구
40,665011.65,종로구,종로구
45,571572.38,종로구,종로구
50,689067.14,종로구,종로구
55,643163.6,종로구,종로구
60,653565.02,종로구,종로구
65,589652.55,종로구,종로구
70,379644.45,종로구,종로구
75,347239.33,종로구,종로구
80,486516.85,종로구,종로구
0,43263.17,종로구,중구
10,31887.05,종로구,중구
15,58007.77,종로구,중구
20,167131.88,종로구,중구
25,230675.43,종로구,중구
30,228710.9,종로구,중구
35,201235.91,종로구,중구
40,217458.86,종로구,중구
45,170885.6,종로구,중구
50,191736.03,종로구,중구
55,162376.21,종로구,중구
60,158113.6,종로구,중구
65,137393.02,종로구,중구
70,84876.61,종로구,중구
75,69826.24,종로구,중구
80,91464.63,종로구,중구
0,13108.06,종로구,용산구
10,9661.48,종로구,용산구
15,17014.89,종로구,용산구
20,40076.92,종로구,용산구
25,61599.61,종로구,용산구
30,65295.59,종로구,용산구
35,55346.61,종로구,용산구
40,54636.34,종로구,용산구
45,43951.75,종로구,용산구
50,46960.54,종로구,용산구
55,42365.7,종로구,용산구
60,39014.36,종로구,용산구
65,32709.03,종로구,용산구
70,23325.87,종로구,용산구
75,17953.53,종로구,용산구
80,30541.26,종로구,용산구
0,8754.57,종로구,성동구
10,5089.22,종로구,성동구
15,16804.8,종로구,성동구
20,41188.23,종로구,성동구
25,50760.64,종로구,성동구
30,49320.23,종로구,성동구
35,42646.14,종로구,성동구
40,45276.59,종로구,성동구
45,34322.92,종로구,성동구
50,43078.96,종로구,성동구
55,38880.76,종로구,성동구
60,40375.51,종로구,성동구
65,37633.98,종로구,성동구
70,23831.98,종로구,성동구
75,22334.51,종로구,성동구
80,31801.25,종로구,성동구
0,5042.73,종로구,광진구
10,2574.03,종로구,광진구
15,11675.06,종로구,광진구
20,29612.6,종로구,광진구
25,36330.3,종로구,광진구
30,29703.34,종로구,광진구
35,21935.53,종로구,광진구
40,22494.13,종로구,광진구
45,17642.58,종로구,광진구
50,23803.54,종로구,광진구
55,21973.27,종로구,광진구
60,22650.71,종로구,광진구
65,19419.81,종로구,광진구
70,14053.11,종로구,광진구
75,12517.39,종로구,광진구
80,14082.0,종로구,광진구
0,9478.01,종로구,동대문구
10,7698.19,종로구,동대문구
15,18767.52,종로구,동대문구
20,75458.3,종로구,동대문구
25,73998.59,종로구,동대문구
30,52485.0,종로구,동대문구
35,42219.27,종로구,동대문구
40,46723.22,종로구,동대문구
45,43768.89,종로구,동대문구
50,56357.56,종로구,동대문구
55,61051.57,종로구,동대문구
60,69354.87,종로구,동대문구
65,71820.71,종로구,동대문구
70,51066.27,종로구,동대문구
75,46122.81,종로구,동대문구
80,63210.46,종로구,동대문구
0,5113.94,종로구,중랑구
10,2258.22,종로구,중랑구
15,6006.71,종로구,중랑구
20,11022.89,종로구,중랑구
25,21218.31,종로구,중랑구
30,22985.13,종로구,중랑구
35,17741.83,종로구,중랑구
40,18693.54,종로구,중랑구
45,15751.14,종로구,중랑구
50,23852.09,종로구,중랑구
55,23049.79,종로구,중랑구
