이동인구(합),출발 시군구 코드,도착 시군구 코드
746349.08,종로구,종로구
220398.92,종로구,중구
44346.62,종로구,용산구
35802.9,종로구,성동구
13878.7,종로구,광진구
48713.66,종로구,동대문구
8734.789999999999,종로구,중랑구
96021.53,종로구,성북구
19144.09,종로구,강북구
11919.2,종로구,도봉구
15253.71,종로구,노원구
40759.09,종로구,은평구
105593.36,종로구,서대문구
41677.72,종로구,마포구
6194.51,종로구,양천구
15578.94,종로구,강서구
8866.4,종로구,구로구
6664.83,종로구,금천구
35046.55,종로구,영등포구
9894.0,종로구,동작구
9325.37,종로구,관악구
44073.88,종로구,서초구
68230.75,종로구,강남구
21470.66,종로구,송파구
8526.38,종로구,강동구
486.79,종로구,부산광역시
497.78,종로구,대구광역시
9046.87,종로구,중구
180.67,종로구,동구
1220.5,종로구,남구
1314.7,종로구,연수구
1499.68,종로구,남동구
1702.73,종로구,부평구
832.47,종로구,계양구
2912.77,종로구,서구
979.46,종로구,강화군
90.33,종로구,옹진군
280.06,종로구,광주광역시
1090.07,종로구,대전광역시
138.05,종로구,울산광역시
390.87,종로구,세종특별자치시
1071.0,종로구,장안구
905.61,종로구,권선구
913.46,종로구,팔달구
1722.77,종로구,영통구
2841.81,종로구,수정구
1018.67,종로구,중원구
8748.67,종로구,분당구
5974.4,종로구,의정부시
1619.31,종로구,만안구
2284.56,종로구,동안구
4748.55,종로구,부천시
1511.61,종로구,광명시
780.73,종로구,평택시
821.67,종로구,동두천시
457.32,종로구,상록구
1542.53,종로구,단원구
17862.59,종로구,덕양구
5526.22,종로구,일산동구
3112.86,종로구,일산서구
3251.32,종로구,과천시
3359.62,종로구,구리시
8435.15,종로구,남양주시
386.75,종로구,오산시
1482.87,종로구,시흥시
1282.33,종로구,군포시
859.38,종로구,의왕시
3807.6,종로구,하남시
1984.57,종로구,용인시
2372.37,종로구,용인시
1619.72,종로구,용인시
7427.83,종로구,파주시
1517.05,종로구,이천시
855.25,종로구,안성시
3208.74,종로구,김포시
3503.25,종로구,화성시
2420.92,종로구,광주시
4958.38,종로구,양주시
2161.08,종로구,포천시
902.75,종로구,여주시
657.5699999999999,종로구,연천군
2327.62,종로구,가평군
2543.97,종로구,양평군
5136.44,종로구,강원도
2805.52,종로구,충청북도
4227.32,종로구,충청남도
806.8199999999999,종로구,전라북도
374.62,종로구,전라남도
1040.36,종로구,경상북도
338.81,종로구,경상남도
263.02,종로구,제주특별자치도
159898.49,중구,종로구
661859.18,중구,중구
81132.17,중구,용산구
107133.59,중구,성동구
18072.15,중구,광진구
42471.29,중구,동대문구
9662.19,중구,중랑구
36746.24,중구,성북구
15774.28,중구,강북구
8497.39,중구,도봉구
14069.9,중구,노원구
15264.38,중구,은평구
52901.09,중구,서대문구
40660.95,중구,마포구
5768.84,중구,양천구
13602.23,중구,강서구
9765.89,중구,구로구
6121.02,중구,금천구
39059.48,중구,영등포구
11566.64,중구,동작구
9690.86,중구,관악구
51916.89,중구,서초구
88284.33,중구,강남구
25040.28,중구,송파구
11190.22,중구,강동구
1498.96,중구,부산광역시
1286.5,중구,대구광역시
11803.56,중구,중구
276.6,중구,동구
1294.76,중구,남구
1344.23,중구,연수구
1118.5,중구,남동구
2242.56,중구,부평구
1340.08,중구,계양구
2791.4,중구,서구
492.38,중구,강화군
29.07,중구,옹진군
518.53,중구,광주광역시
1865.25,중구,대전광역시
397.23,중구,울산광역시
785.29,중구,세종특별자치시
777.07,중구,장안구
1182.76,중구,권선구
1032.93,중구,팔달구
2352.5,중구,영통구
4082.56,중구,수정구
1961.96,중구,중원구
10938.98,중구,분당구
5682.93,중구,의정부시
1793.14,중구,만안구
2887.02,중구,동안구
5643.78,중구,부천시
2119.83,중구,광명시
1355.86,중구,평택시
710.1899999999999,중구,동두천시
764.2,중구,상록구
1509.74,중구,단원구
9241.84,중구,덕양구
4157.48,중구,일산동구
2560.32,중구,일산서구
4039.9,중구,과천시
3274.29,중구,구리시
9124.26,중구,남양주시
569.91,중구,오산시
1706.61,중구,시흥시
