이동인구(합),출발 시군구 코드,도착 시군구 코드
1890822.76,종로구,종로구
488425.96,종로구,중구
165578.28,종로구,용산구
159134.68,종로구,성동구
101134.01,종로구,광진구
211415.01,종로구,동대문구
93016.33,종로구,중랑구
415126.87,종로구,성북구
145351.03,종로구,강북구
100509.88,종로구,도봉구
146535.5,종로구,노원구
244291.56,종로구,은평구
290975.89,종로구,서대문구
212403.5,종로구,마포구
68813.68,종로구,양천구
101903.34,종로구,강서구
71412.81,종로구,구로구
25439.91,종로구,금천구
132111.54,종로구,영등포구
87718.83,종로구,동작구
76265.35,종로구,관악구
140540.55,종로구,서초구
173673.58,종로구,강남구
126839.68,종로구,송파구
86623.74,종로구,강동구
3898.18,종로구,부산광역시
4603.86,종로구,대구광역시
16373.34,종로구,중구
1376.94,종로구,동구
13661.15,종로구,남구
11985.21,종로구,연수구
14818.73,종로구,남동구
27989.51,종로구,부평구
13888.37,종로구,계양구
30979.2,종로구,서구
1805.02,종로구,강화군
161.32,종로구,옹진군
2631.4,종로구,광주광역시
7588.43,종로구,대전광역시
967.57,종로구,울산광역시
4084.49,종로구,세종특별자치시
11427.4,종로구,장안구
10806.6,종로구,권선구
9327.44,종로구,팔달구
13576.0,종로구,영통구
19469.95,종로구,수정구
10298.04,종로구,중원구
57127.86,종로구,분당구
68859.63,종로구,의정부시
16968.94,종로구,만안구
28766.18,종로구,동안구
65644.88,종로구,부천시
23845.38,종로구,광명시
7854.3,종로구,평택시
7979.04,종로구,동두천시
9441.55,종로구,상록구
9145.39,종로구,단원구
123622.7,종로구,덕양구
46068.58,종로구,일산동구
34940.01,종로구,일산서구
13738.95,종로구,과천시
29983.62,종로구,구리시
79399.36,종로구,남양주시
5788.32,종로구,오산시
14630.9,종로구,시흥시
16800.47,종로구,군포시
9437.44,종로구,의왕시
38578.93,종로구,하남시
12451.9,종로구,용인시
26681.46,종로구,용인시
29197.64,종로구,용인시
30161.34,종로구,파주시
4113.94,종로구,이천시
3436.67,종로구,안성시
34880.76,종로구,김포시
21985.84,종로구,화성시
16772.25,종로구,광주시
26072.02,종로구,양주시
6105.49,종로구,포천시
2954.79,종로구,여주시
1765.25,종로구,연천군
3630.98,종로구,가평군
11098.14,종로구,양평군
17699.03,종로구,강원도
11250.21,종로구,충청북도
21678.36,종로구,충청남도
5569.3,종로구,전라북도
2197.68,종로구,전라남도
7571.03,종로구,경상북도
3058.81,종로구,경상남도
669.02,종로구,제주특별자치도
533993.44,중구,종로구
1713889.66,중구,중구
324150.77,중구,용산구
339926.46,중구,성동구
131269.24,중구,광진구
197371.27,중구,동대문구
99004.12,중구,중랑구
262821.0,중구,성북구
142749.16,중구,강북구
104673.58,중구,도봉구
156686.67,중구,노원구
194354.02,중구,은평구
249584.53,중구,서대문구
283439.77,중구,마포구
79034.08,중구,양천구
121846.87,중구,강서구
93909.72,중구,구로구
33254.5,중구,금천구
177131.54,중구,영등포구
122151.21,중구,동작구
115893.96,중구,관악구
173469.73,중구,서초구
219328.9,중구,강남구
157049.96,중구,송파구
101568.7,중구,강동구
17593.6,중구,부산광역시
12018.2,중구,대구광역시
20038.17,중구,중구
1820.84,중구,동구
17527.09,중구,남구
13814.2,중구,연수구
17742.8,중구,남동구
35073.53,중구,부평구
17270.23,중구,계양구
43555.43,중구,서구
1575.3,중구,강화군
113.48,중구,옹진군
2416.12,중구,광주광역시
16073.51,중구,대전광역시
4654.64,중구,울산광역시
7845.31,중구,세종특별자치시
14330.73,중구,장안구
14620.55,중구,권선구
12688.0,중구,팔달구
18784.28,중구,영통구
23898.45,중구,수정구
12914.03,중구,중원구
76066.96,중구,분당구
63739.62,중구,의정부시
18699.48,중구,만안구
39616.38,중구,동안구
83979.37,중구,부천시
30547.32,중구,광명시
9729.18,중구,평택시
5317.6,중구,동두천시
13229.27,중구,상록구
13216.32,중구,단원구
116019.24,중구,덕양구
49136.49,중구,일산동구
40465.89,중구,일산서구
18735.93,중구,과천시
33170.5,중구,구리시
87989.78,중구,남양주시
6128.64,중구,오산시
18278.68,중구,시흥시
24231.25,중구,군포시
12643.81,중구,의왕시
44378.8,중구,하남시
10674.95,중구,용인시
34236.67,중구,용인시
35204.76,중구,용인시
36496.77,중구,파주시
4914.92,중구,이천시
4119.38,중구,안성시
45892.6,중구,김포시
31147.69,중구,화성시
18978.74,중구,광주시
21554.62,중구,양주시
4735.73,중구,포천시
3089.44,중구,여주시
978.67,중구,연천군
3759.62,중구,가평군
9235.4,중구,양평군
19540.83,중구,강원도
15367.06,중구,충청북도
27538.54,중구,충청남도
5336.44,중구,전라북도
1823.05,중구,전라남도
15421.66,중구,경상북도
9437.4,중구,경상남도
655.48,중구,제주특별자치도
103659.45,용산구,종로구
202064.51,용산구,중구
1664021.2,용산구,용산구
99427.1,용산구,성동구
45050.27,용산구,광진구
52773.38,용산구,동대문구
35692.28,용산구,중랑구
70493.87,용산구,성북구
36780.75,용산구,강북구
27381.61,용산구,도봉구
52060.19,용산구,노원구
69251.33,용산구,은평구
91834.53,용산구,서대문구
264718.14,용산구,마포구
38207.61,용산구,양천구
63616.0,용산구,강서구
56133.67,용산구,구로구
22962.56,용산구,금천구
132963.56,용산구,영등포구
149895.23,용산구,동작구
83934.23,용산구,관악구
157009.06,용산구,서초구
149747.55,용산구,강남구
68182.18,용산구,송파구
33252.62,용산구,강동구
9101.67,용산구,부산광역시
5654.75,용산구,대구광역시
15020.64,용산구,중구
964.84,용산구,동구
9494.09,용산구,남구
9359.52,용산구,연수구
10174.56,용산구,남동구
20811.52,용산구,부평구
8898.84,용산구,계양구
21062.74,용산구,서구
958.81,용산구,강화군
98.22,용산구,옹진군
16238.81,용산구,광주광역시
12747.8,용산구,대전광역시
2102.29,용산구,울산광역시
5346.52,용산구,세종특별자치시
7607.62,용산구,장안구
8378.89,용산구,권선구
7393.49,용산구,팔달구
8113.85,용산구,영통구
10279.5,용산구,수정구
5629.96,용산구,중원구
30742.82,용산구,분당구
18668.72,용산구,의정부시
10246.24,용산구,만안구
23458.56,용산구,동안구
49800.91,용산구,부천시
16896.77,용산구,광명시
8113.94,용산구,평택시
2407.82,용산구,동두천시
5781.62,용산구,상록구
7244.22,용산구,단원구
46938.97,용산구,덕양구
21984.09,용산구,일산동구
16917.08,용산구,일산서구
12162.51,용산구,과천시
14165.11,용산구,구리시
35326.82,용산구,남양주시
3731.27,용산구,오산시
10596.3,용산구,시흥시
14277.44,용산구,군포시
8355.5,용산구,의왕시
18368.78,용산구,하남시
5702.48,용산구,용인시
13172.49,용산구,용인시
14000.65,용산구,용인시
20069.76,용산구,파주시
2095.91,용산구,이천시
2140.3,용산구,안성시
22635.45,용산구,김포시
14271.97,용산구,화성시
9297.41,용산구,광주시
7442.34,용산구,양주시
2205.2,용산구,포천시
1633.04,용산구,여주시
716.42,용산구,연천군
3946.26,용산구,가평군
4655.78,용산구,양평군
19994.15,용산구,강원도
8975.93,용산구,충청북도
25561.91,용산구,충청남도
