,유입 인구,유출 인구
강남구,10233863.24,5727218.55
강동구,3637803.7900000005,4581954.36
강북구,1841970.09,2476432.99
강서구,4227375.76,4587307.12
관악구,2731794.8600000003,4038882.92
광진구,2703401.62,3311635.5500000003
구로구,2804115.9,3160796.19
금천구,1937978.42,1637125.99
노원구,3087185.45,4146061
도봉구,1670061.32,2326868.44
동대문구,2896511.26,3077141.03
동작구,2493858.4,3429587.19
마포구,3865861.93,3508651.97
서대문구,3126245.39,2955249.13
서초구,6462870.46,4182249.99
성동구,3075166.4,2949423.04
성북구,2854686.3099999996,3861465.35
송파구,5916927.78,6291764.67
양천구,2255588.6399999997,3141864.69
영등포구,5502799.89,3850190.26
용산구,2646010.42,2193221.68
은평구,2698317.67,4093068.7399999998
종로구,4238139.72,1754660.81
중구,5684464.19,1789180.25
중랑구,2094384.6600000001,3104062.65
