,유입 인구,유출 인구
강남구,10642252.48,13603387.57
강동구,6065706.08,5493716.62
강북구,3365883.43,2902080.53
강서구,6295320.42,6010571.63
관악구,5272231.2,4407637.12
광진구,5124907.62,4608214.97
구로구,4413097.91,4130512.12
금천구,2152619.3,2407205.89
노원구,5544660.51,4737959.71
도봉구,2950729.03,2559351.63
동대문구,4388082.3,4476519.76
동안구,547157.18,342542.15
동작구,4502843.93,3780281.06
마포구,6884823.81,6698634.95
서대문구,4380103.02,4599626.83
서초구,7217515.99,8813672.82
성동구,4536212.95,4699125.56
성북구,5136052.24,4540337.84
송파구,9750348.01,9333787.69
양천구,4162641.74,3497766.92
영등포구,6376441.95,7604715.27
용산구,3914293.98,4097436.4
은평구,5287643.15,4325436.14
종로구,4359820.07,6322710.84
중구,4463216.37,7223735.33
중랑구,3999576.71,3278791.14
