지하철역,호선명,7-9시 유입+유출 합계
구로디지털단지,2호선,590567
가산디지털단지,7호선,545199
강남,2호선,540580
잠실(송파구청),2호선,534793
역삼,2호선,529854
신림,2호선,493988
삼성(무역센터),2호선,482221
을지로입구,2호선,466525
서울역,1호선,448746
선릉,2호선,438607
신도림,2호선,416567
양재(서초구청),3호선,398974
서울대입구(관악구청),2호선,376353
종각,1호선,374184
여의도,5호선,365485
광화문(세종문화회관),5호선,355569
성수,2호선,353802
여의도,9호선,324956
금정,경부선,305351
연신내,3호선,303299
화곡,5호선,296882
수유(강북구청),4호선,293717
사당,2호선,290610
인덕원,과천선,289309
송내,경인선,288793
용산,경부선,288723
까치산,5호선,286959
시청,2호선,286026
쌍문,4호선,285121
홍대입구,2호선,282958
남부터미널(예술의전당),3호선,282217
영등포,경부선,279161
시청,1호선,273432
수원,경부선,269959
문정,8호선,268386
교대(법원.검찰청),2호선,268291
서대문,5호선,266527
낙성대(강감찬),2호선,258265
역곡,경인선,257491
충무로,4호선,257208
문래,2호선,252380
을지로3가,2호선,251493
부천,경인선,249992
범계,과천선,247967
신대방,2호선,247781
강변(동서울터미널),2호선,244862
야탑,분당선,242435
노원,4호선,241676
노량진,9호선,241397
학동,7호선,238876
영등포구청,2호선,236933
봉천,2호선,235695
미아사거리,4호선,233174
가양,9호선,233026
구의(광진구청),2호선,230314
대림(구로구청),2호선,229949
창동,4호선,227394
안국,3호선,225993
압구정,3호선,225780
가산디지털단지,경부선,224300
건대입구,2호선,222410
독산,경부선,220334
평촌,과천선,215740
길음,4호선,215077
회기,중앙선,213402
합정,2호선,212665
발산,5호선,212387
청담,7호선,212381
안양,경부선,211377
장한평,5호선,211118
구파발,3호선,210577
철산,7호선,210228
서초,2호선,209763
뚝섬,2호선,209367
부평,경인선,207273
회현(남대문시장),4호선,206937
사당,4호선,206242
국회의사당,9호선,205825
개봉,경인선,205739
암사,8호선,204392
신촌,2호선,204200
경복궁(정부서울청사),3호선,202419
삼송,일산선,196849
명동,4호선,196143
혜화,4호선,194302
고속터미널,3호선,194261
당산,2호선,193323
신논현,9호선,193168
디지털미디어시티,6호선,192916
상계,4호선,192068
노원,7호선,190037
강동,5호선,188821
서현,분당선,188274
광명사거리,7호선,187395
오목교(목동운동장앞),5호선,187070
염창,9호선,185272
공덕,6호선,184717
선릉,분당선,183720
잠실새내,2호선,183278
응암,6호선,180625
남구로,7호선,177741
모란,분당선,176131
당산,9호선,175101
망포,분당선,173543
봉은사,9호선2~3단계,173257
하계,7호선,173250
답십리,5호선,172836
정자,분당선,171952
신사,3호선,169273
미사,5호선,169206
장지,8호선,167942
홍제,3호선,167021
목동,5호선,167015
수서,3호선,166623
녹번,3호선,165719
구로,경부선,165332
청량리(서울시립대입구),1호선,164880
중계,7호선,163285
총신대입구(이수),4호선,162549
상봉,7호선,161891
논현,7호선,160357
신용산,4호선,159266
주안,경인선,158718
서울역,4호선,157706
상일동,5호선,156357
성균관대,경부선,156063
불광,3호선,155798
수서,분당선,155439
면목,7호선,155176
중앙,안산선,155164
공덕,5호선,155059
사가정,7호선,154989
성신여대입구(돈암),4호선,154789
디지털미디어시티,공항철도 1호선,154476
상록수,안산선,153782
정부과천청사,과천선,153104
신정(은행정),5호선,151974
남한산성입구(성남법원.검찰청),8호선,150178
화정,일산선,148583
강남구청,7호선,148165
마포,5호선,148094
미아(서울사이버대학),4호선,147941
신대방삼거리,7호선,147882
산본,안산선,147585
종로5가,1호선,147267
우장산,5호선,147170
방배,2호선,145624
병점,경부선,144948
상왕십리,2호선,143720
잠실나루,2호선,143260
마포구청,6호선,142745
동암,경인선,142097
내방,7호선,142011
의정부,경원선,141852
마들,7호선,138273
아차산(어린이대공원후문),5호선,138262
계양,공항철도 1호선,136860
대화,일산선,136278
천호(풍납토성),8호선,135847
마곡나루(서울식물원),9호선,135290
새절(신사),6호선,134840
매봉,3호선,133570
화랑대(서울여대입구),6호선,133097
어린이대공원(세종대),7호선,132685
천왕,7호선,132652
구리,중앙선,131638
단대오거리,8호선,131490
잠실(송파구청),8호선,130459
여의나루,5호선,130184
광나루(장신대),5호선,130151
신설동,1호선,129870
수원시청,분당선,129783
등촌,9호선,129240
천호(풍납토성),5호선,128088
동인천,경인선,127679
마곡나루(서울식물원),공항철도 1호선,127638
회룡,경원선,127439
한티,분당선,127158
군자(능동),7호선,126650
금천구청,경부선,126260
도농,중앙선,124146
태평,분당선,123599
대방,경부선,123553
수내,분당선,123194
중앙보훈병원,9호선2~3단계,123031
석계,6호선,123002
