지하철역,호선명,7-9시 유입+유출 합계
잠실(송파구청),2호선,843032
강남,2호선,840810
홍대입구,2호선,795482
삼성(무역센터),2호선,625617
선릉,2호선,584381
을지로입구,2호선,581237
구로디지털단지,2호선,577233
서울역,1호선,575387
역삼,2호선,569574
가산디지털단지,7호선,542282
성수,2호선,537590
신도림,2호선,521207
고속터미널,3호선,514683
신림,2호선,492631
영등포,경부선,478748
사당,2호선,472334
용산,경부선,468788
종각,1호선,443058
양재(서초구청),3호선,434881
서울대입구(관악구청),2호선,434765
수원,경부선,411439
건대입구,2호선,409720
광화문(세종문화회관),5호선,404420
신촌,2호선,388279
합정,2호선,383614
여의도,5호선,375146
여의도,9호선,373214
혜화,4호선,371402
명동,4호선,367589
교대(법원.검찰청),2호선,351831
신논현,9호선,344326
남부터미널(예술의전당),3호선,337872
충무로,4호선,333672
압구정,3호선,330240
수유(강북구청),4호선,317314
신사,3호선,314129
시청,2호선,309897
부천,경인선,307557
부평,경인선,306303
뚝섬,2호선,302494
연신내,3호선,301066
노원,4호선,299691
을지로3가,2호선,297810
시청,1호선,296294
금정,경부선,296240
안국,3호선,295794
강변(동서울터미널),2호선,293226
인덕원,과천선,276237
범계,과천선,275125
회현(남대문시장),4호선,272115
학동,7호선,269823
문래,2호선,267543
야탑,분당선,266876
송내,경인선,264444
경복궁(정부서울청사),3호선,263852
화곡,5호선,259833
사당,4호선,258064
창동,4호선,256574
문정,8호선,256524
서현,분당선,256144
발산,5호선,254052
낙성대(강감찬),2호선,252468
종로3가,1호선,251742
봉은사,9호선2~3단계,251408
신용산,4호선,249304
미아사거리,4호선,248857
역곡,경인선,248368
종합운동장,2호선,247453
까치산,5호선,246331
노원,7호선,245855
노량진,9호선,243506
영등포구청,2호선,242237
쌍문,4호선,240288
회기,중앙선,235885
구의(광진구청),2호선,234454
종로5가,1호선,234357
잠실새내,2호선,234250
오목교(목동운동장앞),5호선,232357
서대문,5호선,226870
압구정로데오,분당선,225294
안양,경부선,224241
대림(구로구청),2호선,220708
가산디지털단지,경부선,220654
신대방,2호선,215068
성신여대입구(돈암),4호선,214349
서초,2호선,212256
철산,7호선,211996
총신대입구(이수),4호선,210874
당산,2호선,210804
가양,9호선,209582
논현,7호선,209420
공덕,6호선,208666
청량리(서울시립대입구),1호선,208045
청담,7호선,206324
천호(풍납토성),5호선,206201
봉천,2호선,205455
개봉,경인선,204855
장한평,5호선,203694
정자,분당선,199268
잠실(송파구청),8호선,198631
여의나루,5호선,198144
고속터미널,9호선,197682
당산,9호선,196898
길음,4호선,196199
국회의사당,9호선,193607
동대문역사문화공원(DDP),4호선,192446
광명사거리,7호선,190721
서울역,4호선,190386
구파발,3호선,189620
중앙,안산선,189573
모란,분당선,189538
독산,경부선,187617
왕십리(성동구청),경원선,186949
수서,3호선,185154
의정부,경원선,183742
종로3가,5호선,183540
구로,경부선,180342
동대문,4호선,180178
평촌,과천선,176395
수서,분당선,174462
목동,5호선,174364
공덕,5호선,174333
삼송,일산선,173218
장지,8호선,171650
천호(풍납토성),8호선,171605
이수,7호선,171341
방배,2호선,170743
강남구청,7호선,169467
미사,5호선,169455
디지털미디어시티,공항철도 1호선,167909
강동,5호선,167647
상봉,7호선,166317
이대,2호선,166299
남구로,7호선,165454
한티,분당선,164734
주안,경인선,164595
선릉,분당선,163779
청량리(서울시립대입구),경원선,163246
마포,5호선,162756
망원,6호선,162604
산본,안산선,162587
응암,6호선,162367
염창,9호선,161029
상계,4호선,160938
어린이대공원(세종대),7호선,160461
왕십리(성동구청),2호선,160182
홍제,3호선,159966
내방,7호선,159745
동대문역사문화공원(DDP),2호선,159279
불광,3호선,158879
숙대입구(갈월),4호선,158719
망포,분당선,158673
을지로4가,2호선,158431
화정,일산선,158166
홍대입구,공항철도 1호선,157540
수원시청,분당선,157527
암사,8호선,157273
병점,경부선,156181
신당,2호선,155984
디지털미디어시티,6호선,154697
고속터미널,7호선,154098
서울숲,분당선,154029
마곡나루(서울식물원),9호선,153947
교대(법원.검찰청),3호선,153677
합정,6호선,152341
답십리,5호선,150774
성균관대,경부선,150569
마곡나루(서울식물원),공항철도 1호선,150405
사가정,7호선,149651
하계,7호선,148920
아차산(어린이대공원후문),5호선,148902
신설동,1호선,145362
상록수,안산선,144421
을지로3가,3호선,144244
동암,경인선,143802
미금,분당선,143480
평택,경부선,141678
건대입구,7호선,141516
한강진,6호선,141092
수내,분당선,140926
상왕십리,2호선,139405
제기동,1호선,138351
매봉,3호선,138059
미아(서울사이버대학),4호선,137086
자양(뚝섬한강공원),7호선,136220
안산,안산선,136216
