지하철역,호선명,7-9시 유입+유출 합계,자치구
구로디지털단지,2호선,590567,구로구
가산디지털단지,7호선,545199,금천구
강남,2호선,540580,강남구
잠실,2호선,534793,송파구
잠실,2호선,534793,송파구
역삼,2호선,529854,강남구
신림,2호선,493988,관악구
삼성,2호선,482221,강남구
을지로입구,2호선,466525,중구
선릉,2호선,438607,강남구
신도림,2호선,416567,구로구
양재,3호선,398974,서초구
서울대입구,2호선,376353,관악구
종각,1호선,374184,종로구
여의도,5호선,365485,영등포구
광화문,5호선,355569,종로구
성수,2호선,353802,성동구
여의도,9호선,324956,영등포구
연신내,3호선,303299,은평구
연신내,3호선,303299,은평구
화곡,5호선,296882,강서구
수유,4호선,293717,강북구
사당,2호선,290610,동작구
사당,2호선,290610,동작구
까치산,5호선,286959,강서구
시청,2호선,286026,중구
시청,2호선,286026,중구
쌍문,4호선,285121,도봉구
홍대입구,2호선,282958,마포구
남부터미널,3호선,282217,서초구
시청,1호선,273432,중구
시청,1호선,273432,중구
문정,8호선,268386,송파구
교대,2호선,268291,서초구
교대,2호선,268291,서초구
서대문,5호선,266527,종로구
낙성대,2호선,258265,관악구
충무로,4호선,257208,중구
충무로,4호선,257208,중구
문래,2호선,252380,영등포구
을지로3가,2호선,251493,중구
을지로3가,2호선,251493,중구
신대방,2호선,247781,동작구
강변,2호선,244862,광진구
노원,4호선,241676,노원구
노원,4호선,241676,노원구
학동,7호선,238876,강남구
영등포구청,2호선,236933,영등포구
영등포구청,2호선,236933,영등포구
봉천,2호선,235695,관악구
미아사거리,4호선,233174,강북구
구의,2호선,230314,광진구
대림,2호선,229949,구로구
대림,2호선,229949,영등포구
창동,4호선,227394,도봉구
안국,3호선,225993,종로구
압구정,3호선,225780,강남구
가산디지털단지,경부선,224300,금천구
건대입구,2호선,222410,광진구
건대입구,2호선,222410,광진구
길음,4호선,215077,성북구
합정,2호선,212665,마포구
합정,2호선,212665,마포구
발산,5호선,212387,강서구
청담,7호선,212381,강남구
장한평,5호선,211118,동대문구
구파발,3호선,210577,은평구
서초,2호선,209763,서초구
뚝섬,2호선,209367,성동구
회현,4호선,206937,중구
사당,4호선,206242,동작구
사당,4호선,206242,동작구
암사,8호선,204392,강동구
신촌,2호선,204200,마포구
경복궁,3호선,202419,종로구
명동,4호선,196143,중구
혜화,4호선,194302,종로구
고속터미널,3호선,194261,서초구
고속터미널,3호선,194261,서초구
당산,2호선,193323,영등포구
디지털미디어시티,6호선,192916,은평구
상계,4호선,192068,노원구
노원,7호선,190037,노원구
노원,7호선,190037,노원구
강동,5호선,188821,강동구
오목교,5호선,187070,양천구
공덕,6호선,184717,마포구
공덕,6호선,184717,마포구
선릉,분당선,183720,강남구
잠실새내,2호선,183278,송파구
응암,6호선,180625,은평구
남구로,7호선,177741,구로구
당산,9호선,175101,영등포구
봉은사,9호선2~3단계,173257,강남구
하계,7호선,173250,노원구
답십리,5호선,172836,성동구
신사,3호선,169273,강남구
장지,8호선,167942,송파구
홍제,3호선,167021,서대문구
목동,5호선,167015,양천구
수서,3호선,166623,강남구
녹번,3호선,165719,은평구
청량리,1호선,164880,동대문구
중계,7호선,163285,노원구
상봉,7호선,161891,중랑구
논현,7호선,160357,강남구
신용산,4호선,159266,용산구
상일동,5호선,156357,강동구
불광,3호선,155798,은평구
불광,3호선,155798,은평구
수서,분당선,155439,강남구
면목,7호선,155176,중랑구
공덕,5호선,155059,마포구
공덕,5호선,155059,마포구
사가정,7호선,154989,중랑구
성신여대입구,4호선,154789,성북구
디지털미디어시티,공항철도 1호선,154476,은평구
신정,5호선,151974,양천구
강남구청,7호선,148165,강남구
마포,5호선,148094,마포구
미아,4호선,147941,강북구
신대방삼거리,7호선,147882,동작구
종로5가,1호선,147267,종로구
우장산,5호선,147170,강서구
방배,2호선,145624,서초구
상왕십리,2호선,143720,성동구
잠실나루,2호선,143260,송파구
마포구청,6호선,142745,마포구
내방,7호선,142011,서초구
마들,7호선,138273,노원구
아차산,5호선,138262,광진구
천호,8호선,135847,강동구
천호,8호선,135847,강동구
새절,6호선,134840,은평구
매봉,3호선,133570,강남구
화랑대,6호선,133097,노원구
어린이대공원,7호선,132685,광진구
천왕,7호선,132652,구로구
잠실,8호선,130459,송파구
잠실,8호선,130459,송파구
여의나루,5호선,130184,영등포구
광나루,5호선,130151,광진구
신설동,1호선,129870,동대문구
신설동,1호선,129870,동대문구
천호,5호선,128088,강동구
천호,5호선,128088,강동구
군자,7호선,126650,광진구
군자,7호선,126650,광진구
중앙보훈병원,9호선2~3단계,123031,강동구
석계,6호선,123002,노원구
