지하철역,호선명,7-9시 유입+유출 합계,자치구
잠실,2호선,843032,송파구
잠실,2호선,843032,송파구
강남,2호선,840810,강남구
홍대입구,2호선,795482,마포구
삼성,2호선,625617,강남구
선릉,2호선,584381,강남구
을지로입구,2호선,581237,중구
구로디지털단지,2호선,577233,구로구
역삼,2호선,569574,강남구
가산디지털단지,7호선,542282,금천구
성수,2호선,537590,성동구
신도림,2호선,521207,구로구
고속터미널,3호선,514683,서초구
고속터미널,3호선,514683,서초구
신림,2호선,492631,관악구
사당,2호선,472334,동작구
사당,2호선,472334,동작구
종각,1호선,443058,종로구
양재,3호선,434881,서초구
서울대입구,2호선,434765,관악구
건대입구,2호선,409720,광진구
건대입구,2호선,409720,광진구
광화문,5호선,404420,종로구
신촌,2호선,388279,마포구
합정,2호선,383614,마포구
합정,2호선,383614,마포구
여의도,5호선,375146,영등포구
여의도,9호선,373214,영등포구
혜화,4호선,371402,종로구
명동,4호선,367589,중구
교대,2호선,351831,서초구
교대,2호선,351831,서초구
남부터미널,3호선,337872,서초구
충무로,4호선,333672,중구
충무로,4호선,333672,중구
압구정,3호선,330240,강남구
수유,4호선,317314,강북구
신사,3호선,314129,강남구
시청,2호선,309897,중구
시청,2호선,309897,중구
뚝섬,2호선,302494,성동구
연신내,3호선,301066,은평구
연신내,3호선,301066,은평구
노원,4호선,299691,노원구
노원,4호선,299691,노원구
을지로3가,2호선,297810,중구
을지로3가,2호선,297810,중구
시청,1호선,296294,중구
시청,1호선,296294,중구
안국,3호선,295794,종로구
강변,2호선,293226,광진구
회현,4호선,272115,중구
학동,7호선,269823,강남구
문래,2호선,267543,영등포구
경복궁,3호선,263852,종로구
화곡,5호선,259833,강서구
사당,4호선,258064,동작구
사당,4호선,258064,동작구
창동,4호선,256574,도봉구
문정,8호선,256524,송파구
발산,5호선,254052,강서구
낙성대,2호선,252468,관악구
종로3가,1호선,251742,종로구
종로3가,1호선,251742,종로구
종로3가,1호선,251742,종로구
봉은사,9호선2~3단계,251408,강남구
신용산,4호선,249304,용산구
미아사거리,4호선,248857,강북구
종합운동장,2호선,247453,송파구
종합운동장,2호선,247453,송파구
까치산,5호선,246331,강서구
노원,7호선,245855,노원구
노원,7호선,245855,노원구
영등포구청,2호선,242237,영등포구
영등포구청,2호선,242237,영등포구
쌍문,4호선,240288,도봉구
구의,2호선,234454,광진구
종로5가,1호선,234357,종로구
잠실새내,2호선,234250,송파구
오목교,5호선,232357,양천구
서대문,5호선,226870,종로구
대림,2호선,220708,구로구
대림,2호선,220708,영등포구
가산디지털단지,경부선,220654,금천구
신대방,2호선,215068,동작구
성신여대입구,4호선,214349,성북구
서초,2호선,212256,서초구
당산,2호선,210804,영등포구
논현,7호선,209420,강남구
공덕,6호선,208666,마포구
공덕,6호선,208666,마포구
청량리,1호선,208045,동대문구
청담,7호선,206324,강남구
천호,5호선,206201,강동구
천호,5호선,206201,강동구
봉천,2호선,205455,관악구
장한평,5호선,203694,동대문구
잠실,8호선,198631,송파구
잠실,8호선,198631,송파구
여의나루,5호선,198144,영등포구
고속터미널,9호선,197682,서초구
고속터미널,9호선,197682,서초구
당산,9호선,196898,영등포구
길음,4호선,196199,성북구
동대문역사문화공원,4호선,192446,중구
동대문역사문화공원,4호선,192446,중구
동대문역사문화공원,4호선,192446,중구
구파발,3호선,189620,은평구
왕십리,경원선,186949,성동구
왕십리,경원선,186949,성동구
수서,3호선,185154,강남구
종로3가,5호선,183540,종로구
종로3가,5호선,183540,종로구
종로3가,5호선,183540,종로구
동대문,4호선,180178,종로구
동대문,4호선,180178,종로구
수서,분당선,174462,강남구
목동,5호선,174364,양천구
공덕,5호선,174333,마포구
공덕,5호선,174333,마포구
장지,8호선,171650,송파구
천호,8호선,171605,강동구
천호,8호선,171605,강동구
이수,7호선,171341,동작구
이수,7호선,171341,동작구
방배,2호선,170743,서초구
강남구청,7호선,169467,강남구
디지털미디어시티,공항철도 1호선,167909,은평구
강동,5호선,167647,강동구
상봉,7호선,166317,중랑구
이대,2호선,166299,마포구
남구로,7호선,165454,구로구
선릉,분당선,163779,강남구
청량리,경원선,163246,동대문구
마포,5호선,162756,마포구
망원,6호선,162604,마포구
응암,6호선,162367,은평구
상계,4호선,160938,노원구
어린이대공원,7호선,160461,광진구
왕십리,2호선,160182,성동구
왕십리,2호선,160182,성동구
홍제,3호선,159966,서대문구
내방,7호선,159745,서초구
동대문역사문화공원,2호선,159279,중구
동대문역사문화공원,2호선,159279,중구
동대문역사문화공원,2호선,159279,중구
불광,3호선,158879,은평구
불광,3호선,158879,은평구
숙대입구,4호선,158719,용산구
을지로4가,2호선,158431,중구
을지로4가,2호선,158431,중구
홍대입구,공항철도 1호선,157540,마포구
암사,8호선,157273,강동구
신당,2호선,155984,중구
신당,2호선,155984,중구
디지털미디어시티,6호선,154697,은평구
고속터미널,7호선,154098,서초구
고속터미널,7호선,154098,서초구
교대,3호선,153677,서초구
교대,3호선,153677,서초구
합정,6호선,152341,마포구
합정,6호선,152341,마포구
답십리,5호선,150774,성동구
사가정,7호선,149651,중랑구
하계,7호선,148920,노원구
아차산,5호선,148902,광진구
신설동,1호선,145362,동대문구
신설동,1호선,145362,동대문구
을지로3가,3호선,144244,중구
을지로3가,3호선,144244,중구
건대입구,7호선,141516,광진구
건대입구,7호선,141516,광진구
한강진,6호선,141092,용산구
상왕십리,2호선,139405,성동구
제기동,1호선,138351,동대문구
매봉,3호선,138059,강남구
미아,4호선,137086,강북구
