호선명,04시-05시 승차인원,04시-05시 하차인원,05시-06시 승차인원,05시-06시 하차인원,06시-07시 승차인원,06시-07시 하차인원,07시-08시 승차인원,07시-08시 하차인원,08시-09시 승차인원,08시-09시 하차인원,09시-10시 승차인원,09시-10시 하차인원,10시-11시 승차인원,10시-11시 하차인원,11시-12시 승차인원,11시-12시 하차인원,12시-13시 승차인원,12시-13시 하차인원,13시-14시 승차인원,13시-14시 하차인원,14시-15시 승차인원,14시-15시 하차인원,15시-16시 승차인원,15시-16시 하차인원,16시-17시 승차인원,16시-17시 하차인원,17시-18시 승차인원,17시-18시 하차인원,18시-19시 승차인원,18시-19시 하차인원,19시-20시 승차인원,19시-20시 하차인원,20시-21시 승차인원,20시-21시 하차인원,21시-22시 승차인원,21시-22시 하차인원,22시-23시 승차인원,22시-23시 하차인원,23시-24시 승차인원,23시-24시 하차인원,00시-01시 승차인원,00시-01시 하차인원,01시-02시 승차인원,01시-02시 하차인원,02시-03시 승차인원,02시-03시 하차인원,03시-04시 승차인원,03시-04시 하차인원,작업일자
1호선,3963,108,62449,38383,81316,192345,181461,451128,263655,988991,243778,652843,260745,460522,332839,477039,395267,469172,426564,455799,448560,407974,518395,384144,583649,383597,772116,382972,930734,385820,469358,246654,379584,166211,370070,151061,251050,120465,106733,72997,8882,21886,13,767,0,2,0,0,202407030
2호선,15185,229,485257,136758,860342,837654,2128459,1963074,2934991,4620281,2070464,3343646,1557351,2088805,1580767,1876357,1765597,1928624,1898942,2082966,1990603,1977690,2269069,2107506,2681456,2380319,3664250,2941589,4579860,3813441,2603052,2615863,2232628,1734084,2221827,1654486,1750968,1504879,798006,925538,122258,285180,63,15483,3,4,0,0,1012035150
3호선,2370,109,157206,40838,367606,370938,907009,833294,1092360,1664568,780284,1252288,676120,879370,693240,802844,767617,779954,800368,811707,849677,792806,968345,821040,1125203,894035,1427644,1055203,1644699,1303211,922014,929028,779313,591676,665666,525331,497449,470165,182612,268340,23651,82757,26,2579,3,4,0,0,688183902
4호선,4428,219,212228,38743,450931,311100,1028450,667443,1128705,1404029,834351,1036411,701034,802688,712334,811432,771453,822639,796845,862332,828522,842318,926568,871900,1083430,975969,1274023,1142368,1412441,1442746,804709,1088950,720519,715590,673694,646884,556900,578166,251150,366972,34234,107098,32,6168,0,1,0,0,526258278
5호선,1898,27,295351,62613,647748,419716,1663149,974340,1927823,2118568,1106753,1157705,861215,783313,837314,775777,898606,810324,905029,892305,890981,859023,1001556,950080,1195357,1112927,1560931,1383837,1890077,1988406,916914,1402758,786540,886425,728276,822291,544823,741204,217487,450493,29811,149267,11,4000,1,0,0,0,1133479368
6호선,2749,51,182985,39449,342230,188703,845456,388521,1002858,860926,612156,576172,453694,436343,446182,418788,484220,445943,489314,497395,483186,471984,535077,519062,634429,607798,735709,742710,826812,1041369,486599,779158,401059,485504,401732,451169,361811,430250,168258,294208,25909,94786,4,819,0,1,0,0,789387417
7호선,3340,85,322925,71039,600446,386477,1415947,801453,1705438,1843244,1084630,1300970,784734,803092,746278,701413,814177,716725,809205,771030,809002,747365,901991,825269,1066903,958043,1379803,1195838,1649020,1642980,906342,1267059,692306,792842,617897,721419,475828,644505,216971,400325,35709,137858,12,3426,2,1,0,0,910831635
8호선,569,14,99129,28737,203939,121406,517375,258238,637967,583308,374690,345724,266711,234539,249746,225648,264852,238498,264055,257095,262606,256011,296365,293970,350102,342970,436832,425639,501989,607171,256445,433471,211595,274690,184771,252673,133644,225183,53485,131270,10293,38860,10,1749,0,0,0,0,364332654
9호선,1108,7,118456,28361,239227,193598,634201,491139,715479,930294,434896,547225,350243,371127,359000,355095,392272,373388,399411,396611,399072,392362,446348,416142,532053,473526,759731,603140,852318,813872,449565,584121,374897,383006,346973,348963,273643,326347,115364,194651,18116,59805,17,3183,4,5,0,0,506017575
9호선2~3단계,30,0,29061,9074,78951,67019,191601,154811,249474,386540,174145,291570,126405,172943,126022,148211,143672,150437,148040,167098,156937,154935,175490,154925,218655,166055,295955,202102,371868,263901,197789,190862,152511,124719,152134,116646,101403,105286,33258,61854,5607,18924,2,823,0,0,0,0,263129139
경강선,43,0,15003,1021,53768,23479,119420,60020,112553,87502,67544,45926,52541,36404,48402,36243,46128,37411,44062,36265,44671,40329,51684,47214,59206,58058,75699,77347,75394,102354,41395,83094,36227,64693,25803,47668,15315,42096,5414,26260,196,5119,1,1,0,0,0,0,242888436
경부선,38413,434,286684,98867,506455,357917,1064403,805724,1039168,1344119,718280,840046,595635,617048,612539,607973,651960,662215,653974,675575,631461,647932,793641,708450,945531,818382,1187132,1025921,1314185,1295827,756946,945018,672589,634983,583525,554824,431193,480194,176503,313147,7861,80818,3,79,0,0,0,0,789387417
경원선,21839,303,160000,38788,283473,134149,591032,200384,599942,356558,412020,290026,350094,267595,331951,290353,346357,296946,345044,301345,333686,311873,354734,336968,405669,394930,399990,470724,359646,601203,229711,491441,202270,321887,166690,284521,125029,249359,60518,157445,6414,66478,4,3,0,0,0,0,667943199
경의선,4169,39,74547,10488,210439,82575,415799,153191,375320,285382,229430,170493,180203,123046,169962,118935,169648,131456,162150,142972,152011,144101,168662,161612,209818,210461,245152,278706,259740,378199,136224,323942,109904,192521,98822,183494,74644,161221,31803,113605,2632,31874,1,2,0,0,0,0,586980387
경인선,31053,271,271632,60370,425222,137233,937522,232696,867216,442149,551311,331161,428767,285805,410237,303162,429058,354490,401336,372584,376361,369889,416472,429039,469838,542567,491137,682462,481510,918292,286986,755726,253844,472791,216501,434250,165246,371446,75144,244627,6642,57075,3,3,0,0,0,0,404814060
경춘선,1834,30,29221,6134,66552,23012,139776,49879,116433,78917,85206,56162,72642,55964,69698,60804,65615,58039,62617,58281,61440,61348,68435,65618,74534,68021,75133,93573,72117,103911,39147,103843,30303,57548,25043,46835,17299,44520,7575,26775,412,10902,0,0,0,0,0,0,384573357
공항철도 1호선,2716,51,89533,29279,155877,135056,282514,226315,257288,361084,187140,214100,163456,154846,174835,164954,186303,184580,187630,176588,186792,170574,223495,172190,249445,201401,345872,247588,371951,316813,213425,256562,174118,168037,186686,156349,170224,149989,73981,106780,4585,48250,8,87,0,0,0,0,283369842
과천선,316,11,30292,14551,116823,75517,292135,171951,255431,375355,167554,216644,137389,160787,130895,130965,144276,129504,143009,141248,142227,131738,167851,140192,209692,161520,281736,203912,372524,296370,142095,230733,117076,132529,103796,125182,81829,114317,30595,67787,2434,19273,2,1,0,0,0,0,161925624
분당선,7812,152,145593,46585,335187,240970,791730,580119,888106,1209821,604812,889835,485491,559268,481796,495418,518490,515723,523718,546771,530541,518209,610709,563066,722104,651081,934843,812476,1091085,1032236,607115,760405,514704,501449,438872,447496,349345,413316,123630,243274,5263,38957,0,4,0,0,0,0,708424605
서해선,118,6,8975,3452,12951,11304,29773,17210,29869,22722,18750,13903,14492,13442,13856,15094,14210,16531,14826,16492,15155,15676,16480,16712,18289,20663,21838,25721,24215,33162,14214,24715,12428,13926,12070,12754,9112,10777,3392,7496,121,1488,0,0,0,0,0,0,60722109
수인선,992,7,41010,9248,94438,47844,193965,114946,178941,175558,104054,82187,86845,72185,90068,80335,96711,88519,91591,87074,91820,82858,106597,92070,123540,116868,152497,142801,151045,187069,75624,127065,64301,89270,53028,82857,37764,68766,18385,47138,301,10059,1,0,0,0,0,0,364332654
신림선,145,4,20540,5416,36550,22332,105802,64299,148452,140464,97346,81182,72777,60720,69771,53275,73944,57926,71377,62257,70754,61751,79985,67906,86037,75313,98248,91545,115934,127228,52771,96894,41211,61510,32409,58722,26604,54857,11062,36478,2486,12953,4,167,0,0,0,0,222647733
안산선,4866,84,94690,15151,200117,87679,385710,167290,346509,242884,226440,168767,186638,141436,178747,136045,184087,149827,173550,156176,167359,161919,181602,179649,212197,216637,250893,282737,254910,388232,144594,310693,124675,210348,104990,185057,75783,161705,30848,114721,3140,36881,0,1,0,0,0,0,263129139
우이신설선,184,16,24257,6885,56712,23894,138574,45715,158111,87681,110721,73076,85519,65660,81882,66191,85459,66886,82690,69650,76458,69077,80265,79775,87024,92355,83596,101917,76727,132654,49876,111468,37594,72084,31276,65717,24596,57343,11049,35207,2770,10105,0,144,0,0,0,0,263129139
일산선,2127,54,67195,12746,176429,54160,363004,95946,349751,197151,226451,150591,187707,127898,175625,129433,176458,141140,169163,155280,160725,154955,172789,179168,190470,200706,201430,250669,197435,324187,108781,286353,96546,179624,80402,163405,62669,143441,21246,89419,2563,22530,3,2,0,0,0,0,222647733
장항선,1644,12,10480,3769,19407,11240,37668,24858,40577,40394,30112,35939,31063,32788,32042,32129,32537,33965,36312,31376,37999,23374,38836,28042,40088,32923,37928,42326,40118,40874,25358,30059,18399,24883,17451,21498,14790,19311,8921,14519,306,3647,0,1,0,0,0,0,141684921
